Time,A,B,C,Temperature,C0,Catalyst,pH,Pressure,RPM
0.0,0.5,0.0,0.0,290.0,0.5,0.5,6.0,1,100
100.0,0.4493504942902368,0.04848501095885549,0.0021644947509076597,290.0,0.5,0.5,6.0,1,100
0.0,0.5,0.0,0.0,290.0,0.5,0.5,6.0,1,300
100.0,0.4058441509832466,0.08629956011105613,0.007856288905696894,290.0,0.5,0.5,6.0,1,300
0.0,0.5,0.0,0.0,290.0,0.5,0.5,6.0,1,500
100.0,0.39113788633329927,0.09817585964755526,0.01068625401914542,290.0,0.5,0.5,6.0,1,500
0.0,0.5,0.0,0.0,290.0,0.5,0.5,6.0,5,100
100.0,0.4484023148712515,0.049349065801303105,0.0022486193274454534,290.0,0.5,0.5,6.0,5,100
0.0,0.5,0.0,0.0,290.0,0.5,0.5,6.0,5,300
100.0,0.4041915080531484,0.08765825774042064,0.00815023420643113,290.0,0.5,0.5,6.0,5,300
0.0,0.5,0.0,0.0,290.0,0.5,0.5,6.0,5,500
100.0,0.3892718429807864,0.0996476588983616,0.011080498120852073,290.0,0.5,0.5,6.0,5,500
0.0,0.5,0.0,0.0,290.0,0.5,0.5,6.0,10,100
100.0,0.4472204890041365,0.0504236630380756,0.002355847957787844,290.0,0.5,0.5,6.0,10,100
0.0,0.5,0.0,0.0,290.0,0.5,0.5,6.0,10,300
100.0,0.4021372047617325,0.0893387901849362,0.008524005053331228,290.0,0.5,0.5,6.0,10,300
0.0,0.5,0.0,0.0,290.0,0.5,0.5,6.0,10,500
100.0,0.386954534850384,0.10146410094628432,0.011581364203331657,290.0,0.5,0.5,6.0,10,500
0.0,0.5,0.0,0.0,290.0,0.5,0.5,7.0,1,100
100.0,0.44439143095223427,0.052985274408113146,0.002623294639652385,290.0,0.5,0.5,7.0,1,100
0.0,0.5,0.0,0.0,290.0,0.5,0.5,7.0,1,300
100.0,0.39724471099606323,0.09330330030280365,0.009451988701133035,290.0,0.5,0.5,7.0,1,300
0.0,0.5,0.0,0.0,290.0,0.5,0.5,7.0,1,500
100.0,0.38144580926757177,0.10573137199084821,0.012822818741580328,290.0,0.5,0.5,7.0,1,500
0.0,0.5,0.0,0.0,290.0,0.5,0.5,7.0,5,100
100.0,0.4433576320509053,0.05391753335571189,0.0027248345933828873,290.0,0.5,0.5,7.0,5,100
0.0,0.5,0.0,0.0,290.0,0.5,0.5,7.0,5,300
100.0,0.3954657098216109,0.09473152099890797,0.009802769179480728,290.0,0.5,0.5,7.0,5,300
0.0,0.5,0.0,0.0,290.0,0.5,0.5,7.0,5,500
100.0,0.37944629098850474,0.10726236667508447,0.013291342336410763,290.0,0.5,0.5,7.0,5,500
0.0,0.5,0.0,0.0,290.0,0.5,0.5,7.0,10,100
100.0,0.44206947110526645,0.05507630124896169,0.0028542276457720834,290.0,0.5,0.5,7.0,10,100
0.0,0.5,0.0,0.0,290.0,0.5,0.5,7.0,10,300
100.0,0.3932555900343253,0.0964958279855854,0.010248581980089533,290.0,0.5,0.5,7.0,10,300
0.0,0.5,0.0,0.0,290.0,0.5,0.5,7.0,10,500
